TEAM,DATE,HOME / AWAY,OPPOSING TEAM,TOTAL POINTS GAINED,FINAL SCORE,TRIES,PENALTY TRY,CONVERSIONS,PENALTY KICK,DROP GOAL,KICK SUCCESS,METERS RUN,KICKS FROM HAND,PASSES,RUNS,POSSESSION 1H,POSSESSION 2H,TERRITORY 1H,TERRITORY 2H,CLEAN BREAKS,DEFENDERS BEATEN,OFFLOADS,RUCKS,RUCKS WON,MAULS,MAULS WON,TURNOVER CONCEDED,SCRUMS,SCRUMS WON,PACK WEIGHT,LINEOUTS,LINEOUTS WON,TACKLES MADE,TACKLES SUCCESS,PENALTIES CONCEDED,RED CARD,YELLOW CARD,FREE KICKS CONCEDED
FRA,10/03/19,AWAY,IRE,0,14,2,0,2,0,0,100.00%,138,21,100,89,23.00%,46.00%,11.00%,44.00%,3,26,6,63,61,4,3,13,8,7,917,13,10,238,205,12,0,1,1
ITA,16/03/19,HOME,FRA,0,14,1,0,0,3,0,60.00%,387,28,163,144,54.00%,73.00%,61.00%,78.00%,3,28,6,114,110,7,7,13,6,5,904,20,18,130,105,5,0,0,0
FRA,16/03/19,AWAY,ITA,4,25,3,0,2,1,1,80.00%,392,31,87,88,46.00%,27.00%,39.00%,22.00%,5,25,6,60,59,3,3,12,6,6,925,13,9,207,179,14,0,1,0
WALES,16/03/19,HOME,IRE,4,25,1,0,1,6,0,100.00%,118,26,65,60,61.00%,25.00%,63.00%,21.00%,3,8,1,48,45,5,4,8,11,9,909,12,11,188,177,11,0,0,1
IRE,16/03/19,AWAY,WALES,0,7,1,0,1,0,0,100.00%,227,18,131,120,39.00%,75.00%,37.00%,79.00%,3,11,2,101,100,11,8,20,3,3,902,17,15,95,87,11,0,0,1
ENG,16/03/19,HOME,SCOT,2,38,5,0,5,1,0,100.00%,674,29,205,177,57.00%,60.00%,69.00%,66.00%,24,45,10,124,121,11,11,18,1,1,954,16,16,150,115,5,0,0,0
SCOT,16/03/19,AWAY,ENG,2,38,6,0,4,0,0,57.00%,494,34,117,105,43.00%,40.00%,43.00%,40.00%,11,35,7,79,77,4,4,11,7,7,914,9,8,244,199,6,0,0,0
WALES,01/02/20,HOME,ITA,5,42,5,0,4,3,0,88.00%,563,28,166,123,48.00%,48.00%,53.00%,52.00%,12,26,5,86,82,5,5,12,8,5,916,8,6,188,163,9,0,0,2
ITA,01/02/20,AWAY,WALES,0,0,0,0,0,0,0,0.00%,396,18,199,143,52.00%,52.00%,47.00%,48.00%,10,25,13,103,99,6,3,18,15,13,892,15,14,169,143,10,0,0,3
IRE,01/02/20,HOME,SCOT,1,19,1,0,1,4,0,83.00%,413,21,148,130,59.00%,44.00%,54.00%,39.00%,9,20,4,105,104,8,6,13,2,2,898,10,9,190,164,9,0,0,1
SCOT,01/02/20,AWAY,IRE,4,21,0,0,0,4,0,80.00%,362,16,140,132,41.00%,56.00%,46.00%,61.00%,8,26,5,104,96,3,2,8,5,5,925,9,7,194,174,14,0,0,0
FRA,02/02/20,HOME,ENG,4,24,3,0,3,1,0,100.00%,326,39,70,93,43.00%,35.00%,40.00%,18.00%,8,26,7,74,72,2,2,14,5,5,939,17,14,203,182,7,0,0,0
ENG,02/02/20,AWAY,FRA,1,17,2,0,2,1,0,100.00%,224,33,158,142,57.00%,65.00%,60.00%,82.00%,6,21,8,113,109,8,8,15,10,10,912,18,17,134,108,5,0,0,1
IRE,08/02/20,HOME,WALES,5,24,4,0,2,0,0,50.00%,322,21,157,135,58.00%,50.00%,66.00%,49.00%,11,17,6,109,107,5,2,9,8,7,900,10,10,153,131,10,0,1,0
WALES,08/02/20,AWAY,IRE,0,14,2,0,2,0,0,100.00%,232,19,150,120,42.00%,50.00%,34.00%,51.00%,4,22,13,89,86,4,4,13,7,6,916,15,14,192,175,6,0,0,0
SCOT,08/02/20,HOME,ENG,1,6,0,0,0,2,0,100.00%,277,32,81,104,45.00%,65.00%,47.00%,71.00%,5,14,2,92,88,4,3,20,2,2,926,19,11,88,83,8,0,0,2
ENG,08/02/20,AWAY,SCOT,4,13,1,0,1,2,0,50.00%,220,47,66,70,55.00%,35.00%,53.00%,29.00%,2,5,0,59,56,8,8,7,9,8,929,12,10,162,148,6,0,0,3
FRA,09/02/20,HOME,ITA,5,35,5,0,2,2,0,50.00%,462,28,127,135,53.00%,35.00%,61.00%,33.00%,12,25,16,89,87,3,3,10,2,2,939,15,13,191,168,10,0,0,1
ITA,09/02/20,AWAY,FRA,0,22,3,0,2,1,0,60.00%,461,22,163,157,47.00%,65.00%,39.00%,67.00%,8,23,16,116,111,7,6,12,5,5,893,9,8,170,145,10,0,0,0
ITA,22/02/20,HOME,SCOT,0,0,0,0,0,0,0,0.00%,413,18,198,146,44.00%,52.00%,41.00%,42.00%,12,21,14,103,95,11,8,17,8,6,892,16,14,212,181,8,0,1,1
SCOT,22/02/20,AWAY,ITA,4,17,3,0,1,0,0,25.00%,561,30,171,152,56.00%,48.00%,59.00%,58.00%,11,31,6,113,106,7,5,15,4,3,920,15,14,187,166,10,0,0,1
WALES,22/02/20,HOME,FRA,1,23,2,0,2,3,0,100.00%,523,39,188,164,70.00%,52.00%,74.00%,50.00%,19,27,16,116,114,8,8,17,10,9,909,13,12,132,114,7,0,0,0
FRA,22/02/20,AWAY,WALES,4,27,3,0,3,2,0,83.00%,460,40,110,101,30.00%,48.00%,26.00%,50.00%,7,18,5,68,66,3,2,13,3,3,939,10,10,204,177,13,0,2,0
ENG,23/02/20,HOME,IRE,4,24,3,0,3,1,0,100.00%,206,24,129,91,55.00%,24.00%,67.00%,21.00%,3,10,4,69,66,4,3,11,4,4,917,11,9,197,180,13,0,0,0
IRE,23/02/20,AWAY,ENG,0,12,2,0,1,0,0,33.00%,235,17,145,123,45.00%,76.00%,33.00%,79.00%,3,17,2,110,108,7,5,15,10,8,910,16,14,116,106,7,0,0,0
ENG,07/03/20,HOME,WALES,4,33,3,0,3,4,0,100.00%,375,37,117,92,43.00%,30.00%,44.00%,29.00%,10,13,3,67,66,4,3,9,5,5,919,6,6,227,203,10,1,1,1
WALES,07/03/20,AWAY,ENG,1,30,3,0,3,3,0,100.00%,496,34,232,167,57.00%,70.00%,56.00%,71.00%,14,24,9,124,123,4,3,13,5,4,905,15,14,116,103,6,0,0,0
SCOT,08/03/20,HOME,FRA,0,28,3,0,2,3,0,83.00%,340,28,94,79,48.00%,31.00%,46.00%,35.00%,10,13,3,53,49,6,4,11,10,10,923,13,10,196,171,7,0,0,0
FRA,08/03/20,AWAY,SCOT,4,17,2,0,2,1,0,75.00%,438,22,128,138,52.00%,69.00%,54.00%,65.00%,13,25,13,100,95,3,2,17,4,4,938,12,12,89,76,11,1,1,2
IRE,24/10/20,HOME,ITA,5,50,7,0,6,1,0,88.00%,593,26,163,124,43.00%,57.00%,44.00%,56.00%,17,24,10,95,93,6,5,11,4,4,902,10,9,145,132,8,0,1,1
ITA,24/10/20,AWAY,IRE,0,17,2,0,2,1,0,100.00%,269,23,140,108,57.00%,43.00%,56.00%,44.00%,5,13,4,94,86,9,6,7,5,4,901,19,15,161,137,10,0,0,1
WALES,31/10/20,HOME,SCOT,1,10,1,0,1,1,0,100.00%,191,28,107,84,46.00%,41.00%,46.00%,35.00%,3,11,5,72,65,3,3,7,9,9,937,12,9,170,147,16,0,0,1
SCOT,31/10/20,AWAY,WALES,4,14,1,0,0,3,0,60.00%,269,16,152,120,54.00%,59.00%,54.00%,65.00%,5,23,1,102,100,11,8,16,5,5,920,15,11,113,102,6,0,0,0
ITA,31/10/20,HOME,ENG,0,5,1,0,0,0,0,0.00%,197,31,101,81,56.00%,39.00%,51.00%,33.00%,5,16,2,61,56,5,3,19,5,3,901,20,18,109,97,13,0,1,2
ENG,31/10/20,AWAY,ITA,5,34,5,0,3,1,0,67.00%,329,44,105,91,44.00%,61.00%,49.00%,67.00%,6,12,3,70,66,9,7,12,11,11,957,14,14,94,78,13,0,1,1
FRA,31/10/20,HOME,IRE,4,35,2,1,2,3,0,83.00%,326,36,106,101,35.00%,44.00%,28.00%,44.00%,12,15,14,74,69,1,1,14,5,5,939,8,7,173,151,14,0,1,1
IRE,31/10/20,AWAY,FRA,0,27,3,0,3,2,0,83.00%,316,24,171,126,65.00%,56.00%,72.00%,56.00%,2,22,3,112,110,7,6,16,10,10,902,17,14,114,99,7,0,1,0
ITA,06/02/21,HOME,FRA,0,10,1,0,1,1,0,100.00%,510,23,198,150,66.00%,55.00%,68.00%,53.00%,9,19,7,116,112,4,3,12,3,3,913,14,11,115,87,12,0,0,0
