TEAM,DATE,HOME / AWAY,OPPOSING TEAM,TOTAL POINTS GAINED,FINAL SCORE,TRIES,PENALTY TRY,CONVERSIONS,PENALTY KICK,DROP GOAL,KICK SUCCESS,METERS RUN,KICKS FROM HAND,PASSES,RUNS,POSSESSION 1H,POSSESSION 2H,TERRITORY 1H,TERRITORY 2H,CLEAN BREAKS,DEFENDERS BEATEN,OFFLOADS,RUCKS,RUCKS WON,MAULS,MAULS WON,TURNOVER CONCEDED,SCRUMS,SCRUMS WON,PACK WEIGHT,LINEOUTS,LINEOUTS WON,TACKLES MADE,TACKLES SUCCESS,PENALTIES CONCEDED,RED CARD,YELLOW CARD,FREE KICKS CONCEDED
ITA,14/02/16,HOME,ENG,0,9,0,0,0,3,0,60.00%,324,36,162,132,50.00%,72.00%,54.00%,71.00%,3,11,4,108,101,6,5,21,5,4,901,18,17,97,83,9,0,0,0
ENG,14/02/16,AWAY,ITA,5,40,5,0,3,3,0,75.00%,450,36,127,98,50.00%,28.00%,46.00%,29.00%,10,14,6,59,55,5,3,16,7,7,955,13,9,143,132,15,0,0,1
WALES,26/02/16,HOME,FRA,4,19,1,0,1,4,0,83.00%,461,24,102,84,42.00%,42.00%,49.00%,49.00%,4,8,8,74,70,3,2,0,8,5,924,7,7,230,206,6,0,0,0
FRA,26/02/16,AWAY,WALES,0,10,1,0,1,1,0,67.00%,690,16,163,148,58.00%,58.00%,51.00%,51.00%,4,7,24,108,107,10,8,0,8,8,906,15,15,117,95,10,0,0,0
ITA,27/02/16,HOME,SCOT,0,20,2,0,2,2,0,100.00%,682,11,147,127,58.00%,58.00%,58.00%,58.00%,4,4,10,105,102,1,1,0,9,7,900,8,7,114,103,10,0,0,0
SCOT,27/02/16,AWAY,ITA,4,36,3,0,3,5,0,100.00%,553,11,100,81,42.00%,42.00%,42.00%,42.00%,4,4,9,62,60,5,5,0,7,7,900,8,7,195,171,7,0,0,0
ENG,27/02/16,HOME,IRE,4,21,2,0,1,3,0,80.00%,726,17,128,114,48.00%,48.00%,58.00%,58.00%,4,6,4,86,83,7,5,0,5,5,939,7,6,173,142,5,0,2,1
IRE,27/02/16,AWAY,ENG,0,10,1,0,1,1,0,100.00%,803,15,197,119,52.00%,52.00%,42.00%,42.00%,4,6,2,110,106,5,5,0,8,8,924,11,8,184,167,8,0,0,0
IRE,12/03/16,HOME,ITA,5,58,9,0,5,1,0,60.00%,681,22,223,178,68.00%,50.00%,64.00%,51.00%,20,21,12,132,130,5,4,7,6,6,924,8,8,156,146,9,0,0,0
ITA,12/03/16,AWAY,IRE,0,15,2,0,1,1,0,67.00%,296,9,197,130,32.00%,50.00%,36.00%,49.00%,6,10,8,100,98,6,5,15,6,5,899,13,10,221,200,9,0,0,2
ENG,12/03/16,HOME,WALES,4,25,1,0,1,6,0,100.00%,508,37,89,112,61.00%,35.00%,63.00%,25.00%,8,26,7,82,81,7,4,10,7,5,939,14,14,140,121,12,0,1,3
WALES,12/03/16,AWAY,ENG,1,21,3,0,3,0,0,100.00%,450,31,131,119,39.00%,65.00%,37.00%,75.00%,11,19,3,94,89,6,5,13,9,9,924,11,9,132,106,14,0,0,0
SCOT,13/03/16,HOME,FRA,0,29,3,0,1,4,0,71.00%,227,30,115,89,63.00%,53.00%,61.00%,48.00%,4,13,2,77,74,4,4,4,11,9,909,9,8,101,85,12,0,0,1
FRA,13/03/16,AWAY,SCOT,4,18,2,0,1,2,0,60.00%,300,21,110,89,37.00%,47.00%,39.00%,52.00%,8,16,7,56,55,11,7,13,1,1,910,17,16,105,92,11,0,0,3
WALES,19/03/16,HOME,ITA,5,67,9,0,8,2,0,91.00%,702,30,238,169,59.00%,67.00%,57.00%,68.00%,21,21,19,114,113,6,6,15,9,8,923,13,13,118,107,8,0,0,0
ITA,19/03/16,AWAY,WALES,0,14,2,0,2,0,0,100.00%,265,27,126,108,41.00%,33.00%,43.00%,32.00%,5,11,6,76,74,7,4,15,1,1,886,15,13,180,159,10,0,1,2
IRE,19/03/16,HOME,SCOT,5,35,4,0,3,3,0,75.00%,386,32,175,133,79.00%,29.00%,82.00%,33.00%,6,16,5,110,108,9,8,6,7,7,926,10,9,140,121,11,0,1,0
SCOT,19/03/16,AWAY,IRE,0,25,3,0,2,2,0,80.00%,451,26,159,123,21.00%,71.00%,18.00%,67.00%,4,19,6,101,98,4,4,13,2,1,894,8,8,140,156,11,0,2,0
FRA,19/03/16,HOME,ENG,0,21,0,0,0,7,0,100.00%,468,26,146,110,44.00%,45.00%,41.00%,39.00%,7,28,8,82,75,3,3,18,5,4,925,13,9,140,119,9,0,1,1
ENG,19/03/16,AWAY,FRA,4,31,3,0,2,4,0,75.00%,406,37,135,117,56.00%,55.00%,59.00%,61.00%,6,21,14,89,81,8,8,11,6,6,955,13,13,144,116,15,0,0,0
SCOT,04/02/17,HOME,IRE,4,27,3,0,3,2,0,100.00%,311,19,145,133,42.00%,40.00%,41.00%,33.00%,6,9,4,107,105,4,3,13,1,1,926,12,10,274,242,9,0,0,0
IRE,04/02/17,AWAY,SCOT,1,22,3,0,2,1,0,75.00%,534,18,232,186,58.00%,60.00%,59.00%,67.00%,12,32,5,160,155,5,4,12,5,5,921,14,12,161,152,7,0,0,0
ENG,04/02/17,HOME,FRA,4,19,1,0,1,4,0,83.00%,455,23,120,99,41.00%,57.00%,42.00%,67.00%,8,14,8,80,79,10,9,13,7,6,946,16,15,142,117,8,0,1,4
FRA,04/02/17,AWAY,ENG,1,16,1,0,1,3,0,80.00%,586,21,152,124,59.00%,43.00%,58.00%,33.00%,13,25,13,83,80,9,7,14,9,9,947,11,9,118,104,15,0,0,1
ITA,05/02/17,HOME,WALES,0,7,1,0,1,0,0,100.00%,344,28,105,95,46.00%,28.00%,46.00%,24.00%,6,18,4,64,62,3,3,12,7,7,913,8,7,177,153,16,0,1,0
WALES,05/02/17,AWAY,ITA,4,33,3,0,3,4,0,88.00%,486,35,160,149,54.00%,72.00%,54.00%,76.00%,10,24,7,105,103,6,6,11,9,7,902,13,13,119,101,5,0,0,0
ITA,11/02/17,HOME,IRE,0,10,0,1,1,1,0,100.00%,210,13,134,115,34.00%,48.00%,28.00%,44.00%,1,10,11,83,82,2,2,14,10,9,897,10,9,199,162,8,0,0,1
IRE,11/02/17,AWAY,ITA,5,63,9,0,9,0,0,100.00%,653,26,255,177,66.00%,52.00%,72.00%,56.00%,13,37,16,119,119,5,5,13,8,8,919,9,9,135,125,6,0,1,0
WALES,11/02/17,HOME,ENG,1,16,1,0,1,3,0,100.00%,334,17,176,140,48.00%,51.00%,52.00%,52.00%,10,18,1,125,123,2,1,11,3,2,910,9,8,206,189,20,0,0,0
ENG,11/02/17,AWAY,WALES,4,21,2,0,1,3,0,67.00%,432,20,184,148,52.00%,49.00%,48.00%,48.00%,9,17,8,119,115,8,8,14,7,7,942,9,9,196,178,6,0,0,0
FRA,12/02/17,HOME,SCOT,4,22,1,0,1,5,0,75.00%,428,12,169,134,52.00%,50.00%,50.00%,54.00%,7,17,16,92,87,5,4,11,9,9,955,8,7,147,129,10,0,0,1
SCOT,12/02/17,AWAY,FRA,1,16,2,0,0,2,0,40.00%,314,15,116,105,48.00%,50.00%,50.00%,46.00%,7,18,9,85,81,5,4,13,4,4,922,10,9,152,135,13,0,0,1
SCOT,25/02/17,HOME,WALES,4,29,2,0,2,5,0,100.00%,274,23,158,121,54.00%,62.00%,54.00%,57.00%,10,14,4,106,102,7,4,9,6,6,916,12,12,120,107,10,0,0,1
WALES,25/02/17,AWAY,SCOT,0,13,1,0,1,2,0,75.00%,315,9,119,83,46.00%,38.00%,46.00%,43.00%,5,13,4,69,64,2,2,17,4,3,910,15,14,172,158,14,0,0,0
IRE,25/02/17,HOME,FRA,4,19,1,0,1,1,1,100.00%,372,24,207,169,66.00%,62.00%,71.00%,66.00%,8,17,6,148,140,13,12,14,7,7,919,22,22,148,134,8,0,0,0
FRA,25/02/17,AWAY,IRE,0,9,0,0,0,3,0,100.00%,333,19,152,111,34.00%,38.00%,29.00%,34.00%,8,14,6,84,83,3,2,15,4,4,934,12,10,246,229,13,0,0,1
ENG,26/02/17,HOME,ITA,5,36,6,0,3,0,0,43.00%,601,29,129,147,43.00%,61.00%,38.00%,62.00%,13,24,15,98,95,8,8,12,3,2,947,9,9,133,119,12,0,0,0
ITA,26/02/17,AWAY,ENG,0,15,2,0,1,0,1,33.00%,349,25,100,109,57.00%,39.00%,62.00%,38.00%,4,14,2,90,86,8,6,12,7,6,899,16,13,159,135,8,0,0,1
WALES,10/03/17,HOME,IRE,4,22,3,0,2,1,0,75.00%,399,25,167,145,58.00%,38.00%,61.00%,36.00%,10,17,7,118,117,5,5,16,5,4,910,11,11,208,185,10,0,0,0
IRE,10/03/17,AWAY,WALES,0,9,0,0,0,3,0,100.00%,398,28,236,166,42.00%,62.00%,39.00%,64.00%,8,23,5,142,140,6,5,16,4,4,919,13,10,173,156,4,0,1,0
ITA,11/03/17,HOME,FRA,0,18,2,0,1,2,0,75.00%,350,14,135,124,57.00%,53.00%,67.00%,55.00%,5,13,10,91,90,11,11,15,6,4,898,8,8,176,121,7,0,0,0
FRA,11/03/17,AWAY,ITA,5,40,4,0,4,4,0,100.00%,856,17,167,138,43.00%,47.00%,33.00%,45.00%,20,55,21,74,72,4,2,15,18,15,920,6,6,160,147,9,0,0,1
ENG,11/03/17,HOME,SCOT,5,61,7,0,7,4,0,92.00%,523,22,144,137,41.00%,60.00%,36.00%,63.00%,9,21,6,88,88,4,3,8,7,6,947,9,9,157,144,5,0,0,1
SCOT,11/03/17,AWAY,ENG,1,21,3,0,3,0,0,100.00%,258,17,127,119,59.00%,40.00%,64.00%,37.00%,1,13,3,93,90,2,1,10,3,3,920,15,14,168,147,13,0,1,0
SCOT,18/03/17,HOME,ITA,5,29,4,0,3,1,0,80.00%,331,33,142,133,64.00%,60.00%,66.00%,55.00%,3,14,2,106,105,3,3,7,7,6,916,12,9,102,98,13,0,1,1
ITA,18/03/17,AWAY,SCOT,0,0,0,0,0,0,0,0.00%,168,30,68,83,36.00%,40.00%,34.00%,45.00%,0,4,0,63,61,13,12,8,2,2,913,12,9,170,156,9,0,0,0
FRA,18/03/17,HOME,WALES,4,20,2,0,2,2,0,80.00%,550,25,181,157,45.00%,69.00%,48.00%,73.00%,9,25,11,125,122,2,2,15,15,14,932,6,4,142,126,11,0,1,0
WALES,18/03/17,AWAY,FRA,1,18,0,0,0,6,0,100.00%,332,25,130,111,55.00%,31.00%,52.00%,27.00%,2,16,7,86,82,5,3,15,5,4,910,16,14,230,205,15,0,1,1
IRE,18/03/17,HOME,ENG,4,13,1,0,1,2,0,100.00%,337,24,164,146,74.00%,45.00%,77.00%,46.00%,4,16,4,114,113,8,5,13,7,7,907,14,13,117,107,10,0,0,0
ENG,18/03/17,AWAY,IRE,1,9,0,0,0,3,0,100.00%,241,29,93,90,26.00%,55.00%,23.00%,54.00%,3,10,3,66,64,6,4,11,8,8,955,11,9,188,172,9,0,0,0
WALES,03/02/18,HOME,SCOT,5,34,4,0,4,2,0,100.00%,561,34,189,134,46.00%,57.00%,40.00%,60.00%,18,16,13,86,82,4,3,12,11,10,898,10,10,136,117,7,0,0,1
SCOT,03/02/18,AWAY,WALES,0,7,1,0,1,0,0,100.00%,379,26,181,130,54.00%,43.00%,60.00%,40.00%,10,19,7,84,82,5,4,18,7,6,916,14,11,130,114,8,0,0,1
FRA,03/02/18,HOME,IRE,1,13,1,0,1,2,0,75.00%,264,25,103,99,30.00%,34.00%,28.00%,35.00%,2,15,2,74,72,3,2,11,8,7,907,9,8,268,253,10,0,0,1
IRE,03/02/18,AWAY,FRA,4,15,0,0,0,4,1,83.00%,352,22,250,193,70.00%,66.00%,72.00%,65.00%,0,15,6,166,162,4,4,13,5,5,901,14,13,128,113,6,0,0,2
ITA,04/02/18,HOME,ENG,0,15,2,0,1,1,0,67.00%,357,18,171,139,55.00%,49.00%,58.00%,45.00%,8,17,8,111,108,3,2,13,6,4,889,9,9,157,131,12,0,0,0
ENG,04/02/18,AWAY,ITA,5,46,7,0,4,1,0,62.00%,443,20,181,134,45.00%,51.00%,42.00%,55.00%,14,26,11,87,85,7,6,8,6,6,943,14,13,153,170,9,0,0,1
IRE,10/02/18,HOME,ITA,5,56,8,0,8,0,0,100.00%,619,19,246,164,68.00%,59.00%,72.00%,59.00%,15,27,11,107,105,9,9,15,8,8,914,15,15,112,106,3,0,0,1
ITA,10/02/18,AWAY,IRE,0,19,3,0,2,0,0,67.00%,409,16,142,104,32.00%,41.00%,28.00%,41.00%,7,6,7,69,68,2,1,12,3,3,907,7,5,202,175,11,0,0,1
ENG,10/02/18,HOME,WALES,4,12,2,0,1,0,0,50.00%,411,39,177,162,55.00%,49.00%,59.00%,60.00%,7,18,6,138,133,5,5,10,6,6,943,7,6,211,188,10,0,0,1
WALES,10/02/18,AWAY,ENG,1,6,0,0,0,2,0,67.00%,501,39,224,163,45.00%,51.00%,41.00%,40.00%,7,23,11,128,125,4,4,16,3,3,898,16,15,218,200,2,0,0,0
SCOT,11/02/18,HOME,FRA,4,32,2,0,2,6,0,100.00%,420,20,179,142,49.00%,64.00%,53.00%,66.00%,7,18,7,110,105,4,3,11,6,6,911,9,8,128,106,10,0,0,0
FRA,11/02/18,AWAY,SCOT,1,26,2,0,2,4,0,100.00%,321,21,136,117,51.00%,36.00%,47.00%,34.00%,5,22,11,84,78,5,4,11,4,4,922,8,7,167,149,13,0,0,0
FRA,23/02/18,HOME,ITA,4,34,3,0,2,5,0,88.00%,565,22,208,175,59.00%,66.00%,65.00%,68.00%,15,24,20,123,121,5,4,14,5,5,929,12,10,111,94,7,0,0,1
ITA,23/02/18,AWAY,FRA,0,17,1,1,1,1,0,100.00%,345,16,118,94,41.00%,34.00%,35.00%,32.00%,5,17,8,66,58,4,4,13,4,4,888,14,11,251,227,16,0,1,0
IRE,24/02/18,HOME,WALES,5,37,5,0,3,2,0,56.00%,454,18,183,170,78.00%,60.00%,84.00%,66.00%,11,17,7,139,138,5,5,13,5,5,918,10,8,101,89,4,0,0,0
WALES,24/02/18,AWAY,IRE,0,27,3,0,3,2,0,83.00%,257,18,120,79,22.00%,40.00%,16.00%,34.00%,9,12,5,56,52,0,0,10,7,6,898,5,4,242,225,9,0,0,1
SCOT,24/02/18,HOME,ENG,4,25,3,0,2,2,0,67.00%,414,27,153,115,49.00%,41.00%,51.00%,38.00%,8,19,2,90,88,4,3,9,5,5,911,15,13,185,164,7,0,0,0
ENG,24/02/18,AWAY,SCOT,0,13,1,0,1,2,0,100.00%,420,24,214,151,51.00%,59.00%,49.00%,62.00%,4,21,7,123,113,7,7,13,4,4,961,11,11,137,118,13,0,1,0
IRE,10/03/18,HOME,SCOT,5,28,4,0,4,0,0,80.00%,592,27,221,172,61.00%,64.00%,61.00%,66.00%,10,26,4,157,152,5,5,12,12,11,912,14,12,168,150,9,0,0,0
SCOT,10/03/18,AWAY,IRE,0,8,1,0,0,1,0,50.00%,420,19,187,138,39.00%,36.00%,39.00%,34.00%,8,18,11,99,95,4,3,16,4,4,911,14,10,256,230,10,0,0,0
FRA,10/03/18,HOME,ENG,4,22,0,1,0,5,0,100.00%,402,18,152,136,46.00%,46.00%,45.00%,43.00%,6,17,9,106,104,1,1,9,6,4,929,11,6,184,176,11,0,0,0
ENG,10/03/18,AWAY,FRA,1,16,1,0,1,3,0,100.00%,363,17,190,137,54.00%,54.00%,55.00%,57.00%,6,8,5,116,108,7,7,10,2,2,965,13,12,184,167,15,0,1,2
WALES,11/03/18,HOME,ITA,5,38,5,0,5,1,0,100.00%,518,26,157,124,34.00%,55.00%,35.00%,62.00%,15,24,10,78,73,5,4,17,2,2,903,14,14,128,120,12,0,2,1
ITA,11/03/18,AWAY,WALES,0,14,2,0,2,0,0,67.00%,237,27,176,123,66.00%,45.00%,65.00%,38.00%,5,8,6,90,85,6,5,13,9,9,888,19,18,155,131,10,0,1,0
ITA,17/03/18,HOME,SCOT,4,27,3,0,3,2,0,100.00%,430,26,167,146,55.00%,36.00%,58.00%,32.00%,8,15,10,114,110,4,3,7,7,6,886,7,7,225,205,9,0,0,2
SCOT,17/03/18,AWAY,ITA,2,29,4,0,3,1,0,80.00%,381,20,207,153,45.00%,64.00%,42.00%,68.00%,8,20,5,128,125,7,7,13,4,4,900,14,12,188,173,5,0,0,1
ENG,17/03/18,HOME,IRE,0,15,3,0,0,0,0,0.00%,433,22,218,163,38.00%,66.00%,42.00%,71.00%,9,20,3,140,138,8,6,13,3,3,928,15,13,172,152,11,0,0,2
IRE,17/03/18,AWAY,ENG,4,24,3,0,3,1,0,67.00%,224,24,138,131,62.00%,34.00%,58.00%,29.00%,6,20,2,112,108,5,4,7,7,7,902,14,14,225,205,12,0,1,1
WALES,17/03/18,HOME,FRA,4,14,1,0,0,3,0,75.00%,351,22,142,112,59.00%,40.00%,57.00%,42.00%,5,9,5,88,81,4,4,11,13,12,915,7,6,192,163,12,0,0,1
FRA,17/03/18,AWAY,WALES,1,13,1,0,1,1,1,60.00%,410,16,178,128,41.00%,60.00%,43.00%,58.00%,7,29,7,94,92,10,5,21,4,4,919,13,12,131,122,8,0,0,1
FRA,01/02/19,HOME,WALES,1,19,2,0,0,2,1,43.00%,487,31,174,146,64.00%,54.00%,70.00%,58.00%,6,21,13,104,102,3,1,18,5,5,962,9,9,117,103,5,0,0,2
WALES,01/02/19,AWAY,FRA,4,24,3,0,3,1,0,67.00%,384,26,81,92,37.00%,46.00%,30.00%,42.00%,7,14,6,71,67,1,1,19,11,10,909,7,4,209,188,10,0,0,0
SCOT,02/02/19,HOME,ITA,5,33,5,0,4,0,0,80.00%,454,28,183,132,57.00%,36.00%,70.00%,40.00%,16,24,9,92,89,5,4,8,4,4,908,13,12,190,167,11,0,1,1
ITA,02/02/19,AWAY,SCOT,0,20,3,0,1,1,0,50.00%,427,21,180,146,43.00%,64.00%,30.00%,60.00%,8,23,12,108,102,4,3,13,6,3,907,13,13,177,153,4,0,0,3
IRE,02/02/19,HOME,ENG,0,20,2,0,2,2,0,100.00%,332,31,202,160,52.00%,67.00%,47.00%,59.00%,6,28,2,138,136,4,3,14,3,3,911,12,11,143,130,4,0,0,0
ENG,02/02/19,AWAY,IRE,5,32,4,0,3,2,0,71.00%,247,32,113,105,48.00%,33.00%,53.00%,41.00%,6,13,5,82,82,4,4,11,5,5,954,10,8,237,209,8,0,1,1
SCOT,09/02/19,HOME,IRE,0,13,1,0,1,2,0,100.00%,388,21,181,138,49.00%,33.00%,60.00%,28.00%,7,23,7,104,101,2,2,14,4,4,921,10,7,228,202,7,0,0,0
IRE,09/02/19,AWAY,SCOT,4,22,3,0,2,1,0,75.00%,365,24,184,158,51.00%,67.00%,40.00%,72.00%,10,26,2,137,134,6,5,16,10,10,910,11,11,179,156,6,0,0,0
ITA,09/02/19,HOME,WALES,0,15,2,0,1,1,0,50.00%,306,23,115,106,35.00%,55.00%,34.00%,48.00%,5,13,5,78,73,7,4,14,6,5,916,11,10,179,162,11,0,0,1
WALES,09/02/19,AWAY,ITA,4,26,2,0,2,4,0,100.00%,387,29,183,130,65.00%,45.00%,66.00%,52.00%,4,17,5,110,109,4,2,15,6,6,902,13,9,135,122,6,0,0,0
ENG,10/02/19,HOME,FRA,5,44,5,1,3,2,0,71.00%,431,47,155,127,63.00%,34.00%,71.00%,38.00%,9,16,7,90,88,3,2,21,6,6,954,12,10,214,181,4,0,0,0
FRA,10/02/19,AWAY,ENG,0,8,1,0,0,1,0,50.00%,557,35,168,163,37.00%,66.00%,29.00%,62.00%,22,33,20,111,108,3,3,21,7,6,926,12,9,141,125,6,0,1,0
FRA,23/02/19,HOME,SCOT,5,27,4,0,2,1,0,50.00%,520,27,137,143,35.00%,47.00%,41.00%,51.00%,17,35,14,100,97,7,7,12,5,5,917,11,11,231,204,10,0,1,1
SCOT,23/02/19,AWAY,FRA,0,10,1,0,1,1,0,67.00%,558,18,253,169,65.00%,53.00%,59.00%,49.00%,12,27,7,145,138,2,2,16,6,5,931,19,17,191,156,12,0,0,0
WALES,23/02/19,HOME,ENG,4,21,2,0,1,3,0,80.00%,368,34,162,167,61.00%,68.00%,64.00%,72.00%,5,15,8,142,139,4,3,14,6,5,905,13,10,150,136,3,0,0,1
ENG,23/02/19,AWAY,WALES,0,13,1,0,1,2,0,75.00%,284,33,103,98,39.00%,32.00%,36.00%,28.00%,6,14,3,80,79,5,4,13,3,2,939,4,4,242,227,9,0,0,1
ITA,24/02/19,HOME,IRE,0,16,2,0,0,2,0,33.00%,501,14,142,121,48.00%,38.00%,50.00%,39.00%,14,21,6,91,88,2,2,14,8,7,882,5,4,244,208,14,0,0,0
IRE,24/02/19,AWAY,ITA,5,26,4,0,3,0,0,75.00%,501,13,210,148,52.00%,62.00%,50.00%,61.00%,5,36,4,129,128,7,6,15,1,1,896,20,15,174,153,9,0,0,1
SCOT,09/03/19,HOME,WALES,1,11,1,0,0,2,0,67.00%,398,20,190,152,38.00%,75.00%,37.00%,78.00%,10,36,5,129,125,8,8,10,4,4,921,12,12,165,150,9,0,0,1
WALES,09/03/19,AWAY,SCOT,4,18,2,0,1,2,0,60.00%,223,27,130,120,62.00%,25.00%,63.00%,22.00%,10,15,10,90,89,4,4,10,3,3,909,10,9,250,214,11,0,0,0
ENG,09/03/19,HOME,ITA,5,57,8,0,7,1,0,89.00%,643,24,154,120,44.00%,34.00%,43.00%,34.00%,22,24,8,82,82,5,3,16,2,2,957,11,11,199,176,3,0,0,1
ITA,09/03/19,AWAY,ENG,0,14,2,0,2,0,0,100.00%,373,20,174,160,56.00%,66.00%,57.00%,66.00%,5,23,6,131,128,3,2,13,9,7,901,12,12,156,132,7,0,0,0
IRE,10/03/19,HOME,FRA,5,26,4,0,3,0,0,75.00%,386,20,204,154,77.00%,54.00%,89.00%,56.00%,8,33,5,120,116,6,6,15,9,7,901,18,17,131,105,7,0,0,0
